"Longitude","Latitude","GridID","TileID"
126.971,44.6125,3344153,186
126.983,44.6125,3344154,186
126.995,44.6125,3344155,186
126.415,44.6042,3344509,186
126.426,44.6042,3344510,186
126.438,44.6042,3344511,186
126.45,44.6042,3344512,186
126.462,44.6042,3344513,186
126.473,44.6042,3344514,186
126.485,44.6042,3344515,186
126.497,44.6042,3344516,186
126.508,44.6042,3344517,186
126.52,44.6042,3344518,186
126.532,44.6042,3344519,186
126.544,44.6042,3344520,186
126.555,44.6042,3344521,186
126.567,44.6042,3344522,186
126.579,44.6042,3344523,186
126.59,44.6042,3344524,186
126.602,44.6042,3344525,186
126.614,44.6042,3344526,186
126.625,44.6042,3344527,186
126.637,44.6042,3344528,186
126.649,44.6042,3344529,186
126.661,44.6042,3344530,186
126.672,44.6042,3344531,186
126.684,44.6042,3344532,186
126.696,44.6042,3344533,186
126.707,44.6042,3344534,186
126.719,44.6042,3344535,186
126.731,44.6042,3344536,186
126.743,44.6042,3344537,186
126.754,44.6042,3344538,186
126.766,44.6042,3344539,186
126.778,44.6042,3344540,186
126.789,44.6042,3344541,186
126.801,44.6042,3344542,186
126.813,44.6042,3344543,186
126.824,44.6042,3344544,186
126.836,44.6042,3344545,186
126.848,44.6042,3344546,186
126.86,44.6042,3344547,186
126.871,44.6042,3344548,186
126.883,44.6042,3344549,186
126.895,44.6042,3344550,186
126.906,44.6042,3344551,186
126.918,44.6042,3344552,186
126.93,44.6042,3344553,186
126.941,44.6042,3344554,186
126.953,44.6042,3344555,186
126.965,44.6042,3344556,186
126.977,44.6042,3344557,186
126.988,44.6042,3344558,186
126.397,44.5958,3344913,186
126.408,44.5958,3344914,186
126.42,44.5958,3344915,186
126.432,44.5958,3344916,186
126.443,44.5958,3344917,186
126.455,44.5958,3344918,186
126.467,44.5958,3344919,186
126.479,44.5958,3344920,186
126.49,44.5958,3344921,186
126.502,44.5958,3344922,186
126.514,44.5958,3344923,186
126.525,44.5958,3344924,186
126.537,44.5958,3344925,186
126.549,44.5958,3344926,186
126.561,44.5958,3344927,186
126.572,44.5958,3344928,186
126.584,44.5958,3344929,186
126.596,44.5958,3344930,186
126.607,44.5958,3344931,186
126.619,44.5958,3344932,186
126.631,44.5958,3344933,186
126.642,44.5958,3344934,186
126.654,44.5958,3344935,186
126.666,44.5958,3344936,186
126.678,44.5958,3344937,186
126.689,44.5958,3344938,186
126.701,44.5958,3344939,186
126.713,44.5958,3344940,186
126.724,44.5958,3344941,186
126.736,44.5958,3344942,186
126.748,44.5958,3344943,186
126.759,44.5958,3344944,186
126.771,44.5958,3344945,186
126.783,44.5958,3344946,186
126.795,44.5958,3344947,186
126.806,44.5958,3344948,186
126.818,44.5958,3344949,186
126.83,44.5958,3344950,186
126.841,44.5958,3344951,186
126.853,44.5958,3344952,186
126.865,44.5958,3344953,186
126.876,44.5958,3344954,186
126.888,44.5958,3344955,186
126.9,44.5958,3344956,186
126.912,44.5958,3344957,186
126.923,44.5958,3344958,186
126.935,44.5958,3344959,186
126.947,44.5958,3344960,186
126.958,44.5958,3344961,186
126.97,44.5958,3344962,186
126.982,44.5958,3344963,186
126.994,44.5958,3344964,186
126.379,44.5875,3345319,186
126.39,44.5875,3345320,186
126.402,44.5875,3345321,186
126.414,44.5875,3345322,186
126.425,44.5875,3345323,186
126.437,44.5875,3345324,186
126.449,44.5875,3345325,186
126.46,44.5875,3345326,186
126.472,44.5875,3345327,186
126.484,44.5875,3345328,186
126.496,44.5875,3345329,186
126.507,44.5875,3345330,186
126.519,44.5875,3345331,186
126.531,44.5875,3345332,186
126.542,44.5875,3345333,186
126.554,44.5875,3345334,186
126.566,44.5875,3345335,186
126.577,44.5875,3345336,186
126.589,44.5875,3345337,186
126.601,44.5875,3345338,186
126.613,44.5875,3345339,186
126.624,44.5875,3345340,186
126.636,44.5875,3345341,186
126.648,44.5875,3345342,186
126.659,44.5875,3345343,186
126.671,44.5875,3345344,186
126.683,44.5875,3345345,186
126.694,44.5875,3345346,186
126.706,44.5875,3345347,186
126.718,44.5875,3345348,186
126.73,44.5875,3345349,186
126.741,44.5875,3345350,186
126.753,44.5875,3345351,186
126.765,44.5875,3345352,186
126.776,44.5875,3345353,186
126.788,44.5875,3345354,186
